,STATE,COUNT,NAMEL,ALAND,AWATE,dc_id,P0130,H0100,P0030,P01202,H0180,H0040,P0040,H0020,P008004,P008005,P01200,P01204,c_0_5_1,c_0_5_3,c_1_5_1_2,c_1_5_1__,c_1_5_3_3,c_1_5_3_4,c_1_1_25_3,c_1_1_25_4,c_1_1_25_5,c_1_2_125,c_1_2_12_,c_1_3_3,c_1_3_4,c_1_3_5,Resilnc,FaildRt,LandUse,Community
28,12,57,Census Tract 102.11,5602520,458179,29,17.36363636,507.0909091,17.27272727,282.9090909,4,126.1818182,164,202.5454545,169.6363636,2.181818182,51.45454545,21.81818182,1.636363636,1.272727273,2.363636364,1.818181818,1.545454545,2.090909091,1.727272727,1.818181818,1.909090909,1.454545455,2.090909091,1.818181818,1.818181818,2.454545455,0.886412354,0,Industrial,1
29,12,57,Census Tract 102.12,3665078,411150,30,31.8375,1008.375,132.125,522.875,21.125,42.375,110.25,385.375,86.5,4.875,64.875,77.875,1.875,1.125,2.875,2.25,2,2.625,2.125,2.625,2.875,2,2.875,1.875,2.625,3,0.979394402,0,Industrial,1
30,12,57,Census Tract 102.10,3320881,434391,31,25.7,1320,72,736,6,453,443,612,409,4,126,49,1,1,3,1,2,2,3,3,4,2,5,3,4,5,0.916753608,0,Industrial,2
31,12,57,Census Tract 102.09,17015306,359237,32,33.58703704,1038.12963,99.5,539.3148148,15.61111111,217.9074074,185.4259259,443.4074074,202.5,6.685185185,67.51851852,50.55555556,1.333333333,1.351851852,1.925925926,1.666666667,1.703703704,2.055555556,1.537037037,2,1.981481481,1.481481481,2.148148148,1.592592593,1.907407407,2.37037037,0.851129728,0,Residential,1
32,12,57,Census Tract 110.16,5295672,147453,33,25.98571429,429,94.28571429,216.7142857,11.57142857,22.42857143,47.42857143,158.8571429,32.28571429,1.142857143,31.28571429,20,1.714285714,1.857142857,3.142857143,1.857142857,2.142857143,3.428571429,2.428571429,2.714285714,3,2.428571429,3.571428571,2.285714286,2.857142857,2.571428571,0.914932568,0,Industrial,2
33,12,57,Census Tract 108.13,1103112,46763,34,13.70714286,220.5714286,13.14285714,125,0.071428571,134.7142857,44.64285714,163.0714286,54.07142857,2,6.5,21.64285714,1.142857143,1.428571429,2.142857143,1.857142857,1.928571429,2.642857143,1.642857143,2.214285714,2.5,1.571428571,2.928571429,1.571428571,2.5,3.142857143,0.910255058,0,Residential,3
34,12,57,Census Tract 108.18,1424999,27154,35,47.16,77.8,0.8,74,0,35.8,40.4,55.6,44,0.8,7.4,43.6,2.2,1,2.6,2,2.2,2.8,1.6,2.6,2,1.6,2.4,2.2,2.6,3.8,0.925543149,0,Industrial,2
35,12,57,Census Tract 54.01,3477466,1684609,36,31,36,0,16,0,19,13,22,2,2,2,0,2,2,3,2,3,3,3,4,1,3,5,3,2,5,0,1,Industrial,2
36,12,57,Census Tract 64,2235780,394958,37,41.4,52,2,25.5,0.5,1.5,15,21,0,0,2.5,7,2,1.5,2.5,3,2.5,2.5,1,1.5,2.5,2.5,3,2,2.5,3,0,0,Residential,2
37,12,57,Census Tract 133.15,5268866,246107,38,3.454545455,0.363636364,0,0.272727273,0,0.090909091,0,0.090909091,0.363636364,0,0,0,1.181818182,1.363636364,2.090909091,1.636363636,1.727272727,2,1.363636364,1.727272727,1.727272727,1.545454545,1.727272727,1.454545455,1.818181818,1.909090909,0.95601475,0,Industrial,1
38,12,57,Census Tract 16,1305300,0,39,29,11.63636364,0.363636364,5.545454545,0.090909091,2.272727273,1.272727273,6.727272727,1.090909091,0.090909091,0.363636364,1,1.636363636,1.454545455,2.454545455,2.363636364,1.909090909,2.818181818,1.727272727,2.545454545,2.090909091,2.090909091,2.909090909,1.909090909,1.818181818,2.818181818,0.92431296,0,Industrial,1
39,12,57,Census Tract 118.02,3305739,23021,40,16.44444444,22.44444444,0.666666667,11,1,5,17,9,1.666666667,0,1.555555556,3.666666667,1.444444444,1.222222222,2.222222222,1.777777778,1.555555556,2.222222222,1.777777778,1.777777778,2,1.444444444,2.888888889,1.777777778,2,2.111111111,0.820600312,0,Residential,1
40,12,57,Census Tract 108.05,1897855,9466,41,12.33333333,11,0.666666667,6,0,3.333333333,3,3.666666667,7.333333333,0,1.333333333,0,1.666666667,1.333333333,3.333333333,2.333333333,2,2.333333333,2,3.666666667,3.333333333,2,3.666666667,1.333333333,2.333333333,2,0.833920056,0,Industrial,1
41,12,57,Census Tract 108.08,985763,48686,42,9.56,217.4,6.8,107.4,0,91.4,42.8,106,97.4,1.4,9.6,2.4,1.2,1.4,1.8,2,2.2,2.8,1.8,2.2,2.6,1.6,3.2,1.6,1.8,3.8,1,0,Industrial,1
42,12,57,Census Tract 119.02,3466082,359342,43,44.17333333,123.8,2.533333333,63.06666667,3,21.53333333,64.93333333,58.46666667,10.4,0.6,7.266666667,18.53333333,1.466666667,1.733333333,3,2.066666667,2.133333333,2.8,2.066666667,2.4,2.2,1.933333333,3.733333333,2,2.6,2.4,0.884676345,0,Industrial,1
43,12,57,Census Tract 120.01,7210877,572466,44,10.53103448,11.17241379,0.137931034,6,0.310344828,2.24137931,2.413793103,4.517241379,4.931034483,0,0.75862069,1.724137931,1.034482759,1.24137931,1.620689655,1.206896552,1.551724138,1.448275862,1.24137931,1.448275862,1.413793103,1.275862069,1.896551724,1.379310345,1.620689655,1.862068966,0.929834643,0,Industrial,3
44,12,57,Census Tract 120.02,5050816,467626,45,21.02352941,32.58823529,0.470588235,15.52941176,1.529411765,4.352941176,7.117647059,14.41176471,10.17647059,0.588235294,2.176470588,3.058823529,1.529411765,1.588235294,2.176470588,2.117647059,2.117647059,2.647058824,1.882352941,2.470588235,1.823529412,1.823529412,2.764705882,1.529411765,2.352941176,2.411764706,0.871784415,0,Industrial,1
45,12,57,Census Tract 121.03,9383391,469356,46,12.93492063,45.41269841,4.634920635,22.82539683,0.571428571,14.76190476,8.26984127,22.58730159,13.0952381,0.380952381,4.174603175,2.761904762,1.365079365,1.317460317,2.079365079,1.698412698,1.571428571,2.111111111,1.634920635,1.80952381,2,1.634920635,2.285714286,1.666666667,1.888888889,1.777777778,0.872328384,0,Industrial,1
46,12,57,Census Tract 109,6132420,144906,47,0,0,0,0,0,0,0,0,0,0,0,0,1.555555556,1.333333333,1.888888889,1.777777778,1.777777778,2.111111111,1.555555556,1.777777778,2.222222222,1.777777778,2.333333333,2.222222222,2,2.888888889,0.973675035,0,Residential,1
47,12,57,Census Tract 110.03,5099520,469494,48,34.3,313.2222222,6,165.6666667,2.111111111,166.6666667,71.33333333,237.2222222,84.22222222,2.666666667,13.55555556,61.22222222,1.555555556,1.444444444,2.333333333,2.111111111,2.222222222,3.111111111,2.222222222,2.555555556,2.444444444,1.777777778,2.111111111,1.777777778,2.333333333,2.333333333,0.893227797,0,Industrial,1
48,12,57,Census Tract 110.08,21506132,696077,49,18.16666667,476.1666667,52.91666667,241.9166667,3.916666667,130.9166667,67.66666667,189.5833333,60.08333333,1.75,21.66666667,22.33333333,1.5,1.416666667,2.583333333,2.083333333,2.416666667,3,2.416666667,2.5,2.916666667,2.166666667,3.083333333,2.416666667,2.916666667,3.083333333,0.987731952,0,Industrial,2
49,12,57,Census Tract 110.10,5139481,162840,50,27.275,597.5,56.75,327.5,9.75,172.5,75,417.75,173.75,4.5,45,34.75,1.5,1,2.25,2.25,1.75,2.5,1.5,2.25,2,2,3.25,1.75,2.25,2,0.8368286,0,Residential,1
50,12,57,Census Tract 112.04,4128619,269866,51,31.33,82.4,0,44.5,2.9,12.1,15.9,59.2,1.6,0.9,0.9,35.9,1.6,1.7,2.5,2,2.1,2.6,2.2,2.9,2.5,1.9,3,1.8,2.8,3.3,0.772725832,0,Residential,2
51,12,57,Census Tract 112.06,2018020,19168,52,41.525,56.125,3.25,22.375,1.25,18,16.375,38,5.25,1,1.75,5.25,1.875,1.625,2.25,1.875,2.125,2.25,2,2.625,2.5,2.125,2.125,2.125,2.5,2.375,0.808671462,0,Industrial,1
52,12,57,Census Tract 1.02,3362558,57019,53,21.53636364,49.27272727,0.545454545,26.36363636,1.363636364,16.36363636,12.18181818,25.09090909,22.63636364,0.545454545,3.454545455,8.363636364,1.909090909,2.181818182,3.090909091,2.090909091,2,2.818181818,2.090909091,3,3,2.454545455,3.181818182,2.090909091,2.272727273,2.636363636,0.992117991,0,Institutional,2
53,12,57,Census Tract 3,2958627,21108,54,20.5,70.66666667,1.666666667,27.8,1.133333333,24.73333333,27.86666667,42.26666667,28.33333333,0.333333333,5.866666667,4.933333333,1.533333333,1.733333333,2.133333333,1.8,1.933333333,2.6,2,2.4,2.133333333,1.8,2.933333333,2,2.466666667,3,0.95351463,0,Industrial,3
54,12,57,Census Tract 7,2103525,29385,55,18.4,18.7,0.1,9.45,0.5,3.25,4.65,8.2,10.95,0.1,1.7,1.05,1.25,1.3,2,1.3,1.6,1.8,1.35,1.75,1.7,1.45,2.4,1.35,1.65,2.1,0.936180791,0,Industrial,3
55,12,57,Census Tract 8,2593051,432004,56,29.15714286,80.0952381,3.571428571,42.42857143,3.428571429,10.42857143,19.95238095,31.52380952,35.52380952,0.238095238,4.19047619,5.952380952,1.380952381,1.333333333,2.238095238,1.952380952,1.952380952,2.380952381,1.571428571,2.047619048,2.142857143,1.80952381,3,1.619047619,2.142857143,2.476190476,0.999218303,0,Residential,1
56,12,57,Census Tract 116.05,8155481,239325,57,11.06470588,64.17647059,1.235294118,34.41176471,0.411764706,19.82352941,44.02941176,24.85294118,11.79411765,0.294117647,4.911764706,4.852941176,1.794117647,1.823529412,2.264705882,2.117647059,2.382352941,2.5,1.823529412,2.294117647,2.147058824,1.852941176,3,2.058823529,2.441176471,2.823529412,0.696917673,0,Industrial,1
57,12,57,Census Tract 116.03,3139477,192337,58,42.59,106.2,3,55.5,3.5,17.8,47.2,48.4,11.5,0.8,6.4,12.8,1.3,1.3,2.3,1.9,2.2,2.4,1.9,1.8,2.3,1.9,2.5,2.1,1.9,2.9,0.624273826,0,Residential,1
58,12,57,Census Tract 11,1631653,45399,59,18.35384615,26.69230769,0.076923077,13.30769231,1,2.692307692,3.692307692,13,4.153846154,0.153846154,1.538461538,3.769230769,1.230769231,1.230769231,1.923076923,1.846153846,1.461538462,2.076923077,1.615384615,2.461538462,2.076923077,1.692307692,2.461538462,1.692307692,1.923076923,2.230769231,1,0,Industrial,3
59,12,57,Census Tract 12,1362891,35703,60,75.5,5,0,3,0,2,2,6,0,0,0,3,1,2,3,3,3,2,2,4,3,3,4,2,3,3,1,0,Industrial,3
60,12,57,Census Tract 43,748979,143520,61,18.79,226.1,0.45,132.3,0.05,79.55,66.25,83.7,161.45,0.35,38.65,15.7,1.3,1.3,2.1,1.35,1.7,2.15,1.85,2,2,1.6,2.6,1.55,2.2,2.6,0.77002199,0,Residential,1
61,12,57,Census Tract 4.02,1961438,0,62,40.6,77,4,41,4,12,14,39,14,1,0,5,2,3,3,3,3,3,3,3,2,3,4,3,2,3,1,0,Industrial,1
62,12,57,Census Tract 13,3806327,100873,63,36.34545455,52.18181818,3.545454545,26.54545455,1.636363636,8.545454545,22.90909091,22.27272727,4.909090909,1.181818182,3.363636364,5.545454545,1.454545455,2,2,2,1.909090909,2.727272727,2,2.090909091,2.181818182,2.181818182,3,2.272727273,2.363636364,3,0.765761251,0,Industrial,1
